country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,676,706,725,769,823,849,919,962,1040,1070,1130,1220,1310,1400,1490,1570,1630
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180,5360,5900,6340,6450,6930,7500,8120,8830,9520,10800,12000,13200,13100,12400,11500,12300,12800,13400,13700,14200,14700,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620,6970,7160,6890,7010,6910,6880,6720,6320,5360,6360,6540,6640,7370,7970,8450,8740,8400,8070,7720,7360,7090,7010,7200
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1490,1440,1480,1470,1500,1490,1480,1510,1550,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,259,245,151,229,235,241,265,270,279,282,307,305,324,319,316,304,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9440,10400,11300,12400,12900,11800,11800,12500,13300,13900,14700,14700,15300,
Luxembourg,,,,,,,,,,,36200,36800,39100,41300,42400,41400,43400,44300,45700,45600,44700,43200,48300,52700,54900,57200,60600,62900,67100,74300,79000,84600,85400,85400,84500,87400,87200,93400,95500,99700,107000,111000,104000,97500,108000,115000,112000,133000,124000,92900,75900,72400,70800,68600,68300,70300,73500,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,3600,3310,3080,3050,3030,3050,3070,3150,3250,3390,3300,3330,3400,3570,3690,3930,4000,4370,4370,4480,4560,4520,4640,4830,4940,5030,5010
Madagascar,690,688,686,663,672,653,673,693,721,724,744,750,723,684,675,666,628,628,594,632,619,537,510,497,481,476,470,456,454,458,474,422,422,420,403,397,397,405,410,419,422,436,368,393,400,408,416,433,451,419,408,401,395,393,397,394,399,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,358,367,370,376,402,420,438,452,460,451,458,470,468,468,473
Malaysia,1300,1380,1430,1480,1510,1570,1650,1700,1790,1810,1890,2010,2160,2330,2450,2430,2630,2760,2850,3030,3200,3360,3440,3510,3660,3520,3500,3580,3840,4070,4370,4630,4900,5270,5610,6010,6440,6700,6040,6160,6480,6440,6690,7000,7340,7640,8040,8450,8610,8420,8780,9150,9350,9650,10100,10400,10700,11200
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,527,497,501,500,488,509,519,545,564,550,593,585,637,627,647,651,659,671,678,681,683,654,658,684,705,719,738
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17900,18400,18800,18900,18900,19000,19200,19900,20600,19100,20000,20600,20800,21400,22600,24400,24600,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680,3820,3820,3940,3810,3730,3800,3850,3830,4020,4190,4490,,
Mauritania,,,,,,,,,1160,1100,1230,1210,1170,1120,1240,1080,1060,1060,1070,1090,1110,1080,1030,1020,988,968,981,974,978,1010,965,973,968,990,932,995,1090,1010,1010,1060,1010,969,1010,1040,1060,1120,1220,1230,1230,1210,1180,1180,1200,1250,1290,1260,1270,1290
Mauritius,,,,,,,,,,,,,,,,,2370,2450,2500,2530,2230,2280,2380,2370,2440,2590,2830,3100,3300,3460,3680,3840,4050,4190,4270,4430,4600,4830,5060,5130,5530,5680,5760,5880,6200,6250,6790,7290,7570,7660,8100,8350,8620,8880,8960,9410,9780,
Mexico,3730,3790,3860,4040,4360,4510,4620,4830,5130,5140,5290,5320,5570,5830,5970,6100,6170,6200,6570,7020,7460,7870,7420,7040,7170,7270,6810,6860,6870,7040,7280,7470,7600,7810,7970,6910,7380,7770,7990,8210,8500,8310,8240,8410,8710,8770,9020,9340,9330,8730,9050,9150,9270,9170,9350,9500,9530,9720
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,1060,1070,1000,967,986,1100,1190,1330,1450,1550,1620,1640,1770,1610,1770,1890,1930,2100,2190,2120,2220,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440,2790,3090,3470,3580,3600,3640,3460
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5270,5370,5480,5680,5670,6190,6560,7040,6530,6640,6950,6820,7070,7150,7480,7610,8000
Morocco,,,,,,,804,866,927,984,1020,1050,1050,1060,1100,1160,1250,1290,1280,1310,1320,1250,1330,1310,1370,1400,1530,1490,1620,1640,1670,1760,1690,1640,1800,1670,1860,1810,1920,1920,1930,2050,2100,2200,2290,2350,2490,2560,2680,2730,2800,2890,2930,3040,3040,3150,3150,3230
Mozambique,,,,,,,,,,,,,,,,,,,,,192,195,176,145,132,131,127,143,158,164,167,171,153,161,164,164,205,222,242,258,248,272,264,298,307,324,334,353,369,394,405,430,451,470,487,499,501,499
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,3650,4070,3880,3870,3660,3010,3220,3620,3260,3380,3550,3770,3820,3700,3630,3760,3690,3720,3750,3680,3780,3720,3890,4140,4450,4390,4680,4880,4950,4880,4990,5210,5270,5640,5890,6090,5880,5760
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,465,476,490,504,517,530,557,577,597,609,632,650,687,702,696,737
Netherlands,,,,,,,,,,,24900,25500,26200,27500,28200,27500,28700,29200,29600,30300,30300,29700,29200,29800,30700,31000,31700,32400,33200,34500,35400,36000,36300,36700,37700,38900,40200,41400,42500,45100,46900,46400,46300,46800,47800,47800,50500,51900,51100,49900,50700,51900,51200,50700,50400,51100,51600,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,26900,27400,28400,29400,30200,30400,30800,31100,31800,31000,32400,32000,32800,33600,34000,34600,35300,35300,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,1000,1070,1110,1160,1220,1250,1270,1270,1280,1340,1390,1420,1480,1550,1480,1520,1600,1690,1750,1810,1900,1950,1950
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,331,348,332,345,340,362,365,380,380,384,387
Nigeria,,,,,,,,,,,,,,,,,,,,,,1600,1560,1450,1380,1440,1250,1060,1190,1160,1270,1230,1190,1140,1150,1160,1200,1210,1200,1210,1110,1200,1200,1270,1670,1660,1920,1910,1970,2030,2200,2250,2300,2360,2480,2510,2410,
Norway,,,,,,,,,,,,,,,,,,,43500,45100,47100,47700,47600,49500,52400,55700,57800,58700,57700,57900,58800,60100,62500,63800,67000,69700,72800,76300,77800,79000,80600,82900,83800,84300,86800,89300,89800,91200,90400,88600,88600,88200,89300,89400,92500,94400,94800,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18200,18900,18100,17500,17400,17100,16300,17900,18200,18300,18100,16700,17000,17000,16200,16400,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,688,735,751,760,776,777,804,795,799,823,831,815,815,825,838,836,861,907,946,996,1030,1060,1060,1070,1080,1090,1110,1140,1170,1210,1250,1290
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100,9230,9070,8870,9390,9620,9240,9490,10100,10100,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,1770,1800,2160,2730,3140,2640,2320,2200,2350,2460,2710,2550,2470,2230,2510,2500,2620,2930,2760,2700,3000,3030,2840
Panama,1910,2070,2180,2310,2350,2450,2560,2690,2790,2940,3060,3260,3310,3390,3370,3420,3330,3290,3540,3570,3990,4180,4540,4460,4290,4550,4390,4710,3800,3690,3930,4100,4400,4650,4740,4640,4750,4900,5140,5170,5290,5190,5380,5330,5540,5800,6190,6750,7340,7250,7340,8330,8920,9270,9670,9410,9570,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,2780,2740,2680,2570,2350,2300,2310,2130,2230,2270,2450,2700,2870,2670,3000,3150,3010,3430,3580,3620,3720,3710
Peru,2560,2690,2890,2930,3030,3120,3270,3300,3190,3210,3260,3340,3370,3470,3710,3770,3690,3680,3430,3420,3570,3690,3600,3090,3120,3130,3310,3580,2490,2210,2530,2600,2540,2600,2870,3020,3090,3250,3220,3220,3250,3250,3360,3430,3490,3620,3750,4030,4400,4420,4650,4860,5170,5490,5570,5750,5850,5930
Philippines,1050,1080,1100,1140,1140,1160,1180,1200,1210,1240,1240,1270,1300,1380,1400,1440,1510,1560,1600,1640,1670,1680,1670,1660,1470,1330,1330,1360,1430,1470,1510,1480,1470,1470,1520,1560,1620,1700,1780,1790,1890,1920,1950,2000,2090,2160,2210,2300,2370,2440,2570,2600,2740,2910,3030,3160,3320,3480
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9310,9790,10400,11000,11600,11800,12200,12800,13000,13200,13600,14100,14500,15100
Portugal,,,,,,,,,,,8950,9510,10300,11600,11600,10400,10700,11200,11300,11800,12100,12100,12100,12100,11700,12100,12700,13700,14800,15900,16600,17400,17700,17400,17400,18200,18700,19300,20100,20800,21100,21300,21400,21300,21600,21700,21600,22100,22000,21300,21800,21700,20800,20900,21200,21400,21900,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61200,54900,62600,62700,62500,59700,63000,65800,64700,64300,64000,65200,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5350,4710,4330,4390,4570,4900,5100,4860,4760,4740,4890,5240,5590,5870,6270,6650,7190,7790,8640,8290,8110,8300,8430,8720,9110,9400,9870,10600
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,9000,7630,6980,6140,5870,5640,5690,5280,5640,6310,6750,7070,7540,8180,8710,9400,10300,10800,9900,10300,10900,11200,11400,11300,11000,11000,11200
Rwanda,,,,,,,,,,,336,330,321,320,315,300,347,343,362,393,415,425,419,428,395,394,397,378,378,369,359,358,400,390,204,281,304,325,326,317,324,337,374,374,395,426,455,480,518,535,559,588,620,629,657,697,720,747
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18300,17700,16700,18000,18900,19500,19500,19400,20200,19200,19500,20900,21400,21300,21600,22000,21800,21100
Senegal,,,,,,,,,1010,923,968,938,966,876,884,921,985,938,875,917,861,876,916,842,838,840,842,867,832,842,816,812,808,784,762,785,794,798,829,855,860,880,861,899,930,957,958,979,990,977,991,972,984,987,994,1020,1060,1100
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480,3560,3130,3410,3580,3820,3990,4360,4590,4830,5100,5360,5270,5290,5400,5310,5430,5360,5370,5490,5550
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,323,338,344,345,349,392,414,421,404,409,482,548,551,431,404,
Singapore,3480,3640,3790,4090,3880,4070,4390,4790,5300,5920,6580,7150,7960,8500,8850,9490,9900,10400,11300,12200,12600,13200,13700,15000,16400,16500,16600,17600,19300,20800,22000,22700,23900,25500,28000,29200,29700,32000,30100,31500,33200,31900,32300,34000,35400,37300,40700,42700,40800,39200,46300,47300,47300,49100,51100,50900,50700,53300
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900,12800,13900,15400,16400,15700,16200,16400,17000,17400,17700,18400,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,21900,23000,24200,24900,22900,23200,23400,22700,22500,23200,23200,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,,,,,,,
South Africa,4370,4410,4600,4820,5060,5220,5320,5560,5630,5720,5860,5970,5890,5980,6160,6080,6050,5890,5920,5990,6220,6390,6210,5940,6090,5850,5730,5770,5900,5910,5740,5610,5380,5330,5390,5440,5550,5600,5530,5570,5710,5750,5910,5990,6230,6480,6760,6950,7110,6990,7120,7220,7270,7350,7380,7390,7310,7290
South Korea,955,995,1000,1060,1140,1190,1310,1410,1560,1740,1850,1980,2070,2330,2520,2630,2940,3260,3580,3810,3660,3840,4120,4580,4980,5270,5800,6530,7270,7750,8450,9230,9700,10300,11100,12000,12800,13400,12500,13800,15000,15600,16700,17100,17900,18400,19400,20300,20800,20800,22100,22900,23400,23900,24400,24900,25600,26200
Spain,,,,,,,,,,,13400,13900,14900,15900,16700,16600,16900,17100,17200,17100,17300,17000,17100,17300,17500,18000,18600,19600,20500,21500,22300,22800,22900,22700,22700,23600,24100,24900,25800,26900,28200,29000,29400,29800,30200,30700,31300,31700,31400,30300,30300,29800,29200,28900,29400,30500,31500,
Sri Lanka,,573,596,588,603,600,620,643,656,697,672,654,645,672,677,699,683,706,772,872,918,941,981,998,1010,1070,1100,1110,1120,1120,1180,1220,1270,1340,1400,1450,1490,1590,1640,1700,1790,1750,1810,1920,2000,2110,2250,2390,2490,2590,2780,3000,3230,3290,3430,3550,3660,3730
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13100,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7780,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120,,,,,,,
Sudan,,,,,,846,793,777,768,756,778,771,709,693,746,836,946,973,886,812,799,804,839,824,743,681,698,778,749,784,698,686,732,758,768,800,848,921,931,927,934,961,1000,1030,1040,1100,1190,1290,1350,1360,1360,1520,1670,1230,1670,1720,1760,1800
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8110,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860,2860,2890,2850,2730,2970,3110,3140,3020,3110,3010,3150,3070,3100,3250,3610,3590,3710,3630,3550,3500,3680,3790,4020,3990,3960,3900,
Sweden,,,,,,,,,,,26500,26600,27200,28300,29100,29700,29900,29300,29700,30800,30900,30800,30900,31400,32700,33400,34400,35700,36400,37000,36700,35700,34400,33200,35100,36400,37000,38100,40100,42600,44700,45300,46200,47900,49200,50700,53500,55100,54600,50800,53600,54200,53800,53900,54700,56200,57400,
Switzerland,,,,,,,,,,,,,,,,,,,,,55900,56700,55600,55900,57800,59600,60000,60400,62400,64200,65500,64200,63300,62900,62700,63100,63300,65700,67800,69100,72000,70700,69500,71600,72900,76100,78000,75400,70700,74400,78800,75400,76300,76900,76800,77900,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,529,453,360,378,392,401,422,455,494,532,588,620,649,693,739,748,912,954,1000,1070,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,472,458,450,443,449,462,464,471,482,491,497,530,546,572,598,619,643,659,674,694,728,737,770,797,822,853,
Thailand,569,582,608,637,660,695,749,792,831,860,930,946,956,1020,1050,1070,1140,1220,1310,1350,1390,1430,1480,1550,1600,1640,1690,1820,2030,2250,2470,2640,2800,3020,3230,3450,3590,3430,3100,3240,3390,3450,3600,3810,4010,4140,4360,4580,4630,4580,4860,4970,5190,5210,5310,5440,5640,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,1960,2100,1730,1240,661,1160,2420,2630,3000,3010,2950,1740,2290,2060,3010,3020,2570
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,425,424,417,411,458,555,568,587
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3660,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15900,,,,,,,
Tunisia,,,,,,1080,1100,1070,1150,1170,1210,1320,1520,1460,1550,1630,1710,1730,1800,1870,1970,2010,1950,1990,2050,2090,2000,2080,2030,2020,2160,2180,2290,2260,2300,2330,2450,2570,2670,2800,2890,2980,3000,3120,3290,3340,3500,3660,3760,3860,3950,3820,3940,3980,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,6230,6230,6170,6670,6600,6820,7240,6730,7190,7610,8060,8150,7730,8120,7440,7850,8180,8880,9590,10100,10500,10500,9850,10600,11600,12000,12800,13200,13700,14000,14700
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,299,304,296,276,269,272,283,290,296,303,299,318,328,356,377,386,394,412,405,406,431,444,455,466,501,528,555,573,585,620,619,619,629,642,650,651
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070,3710,3260,2730,2150,1890,1720,1680,1650,1650,1760,1970,2100,2330,2620,2720,2920,3170,3280,2780,2920,3060,3100,3100,3090,2790,2880,3080
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63500,59200,59900,60300,57200,55200,50100,44300,37600,35000,35800,36400,37900,39200,41000,41700,41500
United Kingdom,,,,,,,,,,,17900,18400,19100,20300,19800,19500,20100,20600,21400,22200,21700,21600,22000,22900,23400,24300,25100,26300,27800,28400,28500,28100,28200,28800,29900,30500,31200,32400,33300,34300,35600,36500,37500,38600,39300,40500,40700,41300,40500,38500,39200,39400,39200,39600,40200,40800,41300,
United States,,,,,,,,,,,23400,23900,24800,26100,25700,25400,26500,27500,28700,29300,29000,29400,28600,29600,31400,32400,33100,34000,35100,36100,36400,35900,36600,37100,38100,38700,39700,40900,42200,43800,45100,45100,45500,46400,47800,48900,49700,50300,49800,47900,48900,49400,50100,50500,51400,52400,52700,
Uruguay,,,,,,5340,5440,5160,5220,5510,6370,5600,5460,5130,5650,5930,6160,6240,6530,6950,7070,7380,6520,5600,5400,5460,6050,6540,6600,6600,6640,6910,7450,7600,8070,7920,8320,9030,9370,9200,8990,8620,8020,7730,8080,8820,9230,9810,10400,10800,11500,12100,12500,13000,13400,13500,13600,13900
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,721,740,763,785,798,820,845,873,936,993,1050,1200,1310,1340,1420,1510,1630,1750,1830,1890,2000,2110
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,2450,2650,2700,2960,2900,2860,2840,2740,2890,2910,,,
Venezuela,,11900,12400,12500,13200,13300,13100,13000,13500,13300,13900,13700,13700,14100,14200,14500,15200,15700,15600,15300,14300,13900,12900,12000,11700,11400,12000,12000,12500,10800,11700,12600,12900,12600,12000,12300,12000,12500,12300,11500,11700,11800,10400,9460,10900,12100,13200,14400,14800,13900,13400,13500,14000,14000,13600,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,575,617,656,685,712,806,848,893,943,1010,995,1050,1110,1160,1190,1260,1320,1370,1430,1490,1560,1660,1740
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,1070,1070,1060,1060,1090,1140,1150,1140,1190,1230,1030,1060,1080,1030,650,431,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,743,700,555,557,619,679,772,828,830,819,819,822
